Trace : with corresponding MRs On West First - XY
t	 Src	 Dest	 Pkts	 MRs-WF	 MRs-XY
7	9	3	7	10	9
9	4	1	5	6	5
14	6	14	3	4	4
19	0	9	7	7	7
19	1	11	7	10	9
19	11	3	2	4	4
21	11	12	3	9	9
27	12	14	13	5	4
32	4	14	9	10	9
34	14	3	14	10	9
39	13	8	6	5	5
43	6	15	9	8	7
48	10	13	9	5	5
52	8	5	2	6	5
56	13	4	4	7	7
57	13	9	5	2	2
57	12	11	13	9	9
63	2	0	2	5	4
63	0	14	12	13	11
65	13	2	2	10	9
70	2	6	7	2	2
72	12	13	3	3	2
75	4	2	5	8	7
80	0	6	4	8	7
84	11	4	5	9	9
88	7	2	11	5	5
92	1	2	10	3	2
92	2	1	6	3	2
95	15	10	7	5	5
98	10	9	5	3	2
100	9	2	11	8	7
104	9	12	4	5	5
106	14	5	2	7	7
112	5	9	4	2	2
117	2	10	9	4	4
118	12	3	4	15	13
124	7	6	5	3	2
126	4	6	1	5	4
127	13	12	11	3	2
127	6	3	13	6	5
128	7	9	7	7	7
130	15	9	4	7	7
132	1	13	11	6	6
135	14	13	8	3	2
138	6	2	11	2	2
144	6	13	4	7	7
146	4	15	10	13	11
152	7	8	14	9	9
156	11	9	6	5	4
160	12	4	3	4	4
164	9	14	11	6	5
165	15	2	3	9	9
166	0	13	1	11	9
172	3	15	13	6	6
172	6	9	9	5	5
172	10	5	8	5	5
178	7	11	9	2	2
178	1	7	9	8	7
179	14	15	8	3	2
182	0	4	10	2	2
185	13	14	13	3	2
189	3	2	1	3	2
193	8	0	1	4	4
193	10	4	3	7	7
196	14	1	13	9	9
200	14	9	3	5	5
204	4	7	10	7	6
204	10	0	2	9	9
204	11	1	10	9	9
206	14	4	4	9	9
210	2	11	8	8	7
210	3	5	13	7	7
210	4	5	3	3	2
213	14	11	12	6	5
216	5	0	5	5	5
217	13	7	5	11	9
218	0	2	2	4	4
223	4	9	4	6	5
228	9	5	7	2	2
234	1	0	11	3	2
237	1	8	2	7	7
242	9	11	14	5	4
248	7	12	2	11	11
248	1	5	6	2	2
250	8	10	7	5	4
250	5	4	8	3	2
251	10	7	11	6	5
256	3	1	6	5	4
261	0	8	3	4	4
262	1	9	3	4	4
262	1	6	6	5	5
268	0	12	5	6	6
273	9	1	12	4	4
274	2	5	9	5	5
276	5	8	9	5	5
277	9	10	5	3	2
283	8	2	11	9	9
287	9	13	8	2	2
291	9	6	2	6	5
297	12	8	7	2	2
299	14	0	14	11	11
303	11	2	6	7	7
306	15	1	3	11	11
312	5	11	5	8	7
313	5	7	8	4	4
317	6	8	12	7	7
323	3	8	7	11	11
323	1	15	5	13	11
328	0	11	5	14	11
330	6	12	5	9	9
334	3	13	6	11	11
337	14	2	9	6	6
339	6	1	9	5	5
341	12	10	8	8	7
342	0	7	3	11	9
343	5	10	6	5	5
346	8	3	6	13	11
346	10	1	1	7	7
346	15	8	8	9	9
349	13	3	13	13	11
353	14	12	4	5	4
358	3	12	8	13	13
360	6	5	13	3	2
361	1	14	8	10	9
0	0	0	0	0	0
Total MRs turned On XY-Routing---- 
738
Total MRs Turned On West First---- 
805
