Trace : with corresponding MRs On West First - XY
t	 Src	 Dest	 Pkts	 MRs-WF	 MRs-XY
1	16	17	13	1	2
7	0	19	3	1	3
11	3	8	20	2	2
13	14	5	19	3	3
14	6	2	1	2	3
15	16	20	4	3	3
21	2	11	1	3	3
28	4	2	9	3	2
29	17	7	4	2	2
34	16	18	14	1	2
41	22	1	7	3	3
44	13	19	8	2	3
44	17	24	4	2	3
47	19	3	9	3	3
50	22	8	17	2	3
51	14	16	22	3	3
58	3	18	4	2	2
61	19	12	4	3	3
66	12	9	18	3	3
69	16	4	2	3	3
71	16	10	1	3	3
77	6	15	18	3	3
83	14	23	1	3	3
89	5	15	22	2	2
90	20	0	10	2	2
96	1	18	3	2	3
100	4	23	9	3	3
104	4	6	11	3	3
104	16	1	1	2	2
107	8	19	8	2	3
114	1	23	21	2	3
115	13	18	1	2	2
117	4	16	17	3	3
118	15	14	10	3	3
120	4	5	9	3	3
121	6	23	19	2	3
123	21	20	13	3	2
127	22	20	19	3	2
132	2	23	14	2	3
133	12	11	5	3	2
135	5	17	3	4	3
142	24	6	8	3	3
146	16	24	8	2	3
152	5	7	15	0	2
159	7	12	4	2	2
160	12	3	10	2	3
167	20	9	8	2	3
168	8	21	12	3	3
172	22	21	4	3	2
174	5	13	21	2	3
174	0	16	11	2	3
176	5	10	4	2	2
183	24	12	20	3	3
187	8	20	16	3	3
188	2	0	5	3	2
191	11	24	1	4	3
195	23	24	5	1	2
199	9	6	10	3	2
205	3	24	10	2	3
207	13	0	22	3	3
211	23	8	9	2	2
218	21	10	20	3	3
219	13	14	11	1	2
224	1	0	4	3	2
225	19	6	10	3	3
231	9	14	20	2	2
237	20	10	7	2	2
242	18	23	2	2	2
245	14	3	23	3	3
245	0	8	6	2	3
247	5	21	1	2	3
253	6	14	23	2	3
259	9	7	23	3	2
259	22	13	12	2	3
263	13	4	7	2	3
269	7	8	21	1	2
276	15	13	9	1	3
280	11	2	2	2	3
282	22	5	20	3	3
282	21	12	20	2	3
288	19	17	11	3	2
292	16	6	6	2	2
298	7	1	14	3	3
302	14	0	20	3	3
302	0	10	8	2	2
305	19	11	15	3	3
305	1	14	19	2	3
312	23	2	12	3	3
313	7	10	15	3	3
313	1	17	23	2	3
318	19	4	19	2	2
319	14	1	7	3	3
320	0	5	17	2	2
322	24	16	23	3	3
322	18	3	14	2	2
325	23	4	18	2	3
329	12	4	9	2	3
334	12	16	12	3	3
339	18	20	13	3	3
340	16	11	14	2	2
341	13	7	1	3	3
348	1	16	6	2	2
355	11	13	8	1	2
356	3	12	10	3	3
356	7	20	20	3	3
357	6	21	20	2	2
363	21	7	16	2	3
364	19	21	19	3	3
370	4	11	9	3	3
377	0	23	14	2	3
379	19	9	16	2	2
383	24	4	5	2	2
389	20	24	4	1	2
391	13	24	13	1	3
397	12	5	21	3	3
403	16	2	5	2	3
404	2	14	11	2	3
406	24	9	4	2	2
408	22	9	7	2	3
409	20	12	14	2	3
410	18	2	21	3	3
415	20	13	10	2	3
419	17	10	5	3	3
425	0	18	14	2	3
429	23	22	13	3	2
434	6	3	14	2	3
434	5	18	23	2	3
439	6	17	10	2	3
445	22	11	2	3	3
445	0	12	17	2	3
445	10	8	4	2	3
452	10	21	13	2	3
455	10	0	14	2	2
459	19	20	11	3	3
459	19	0	19	3	3
459	19	8	23	3	3
465	21	16	12	2	2
471	18	1	8	3	3
475	18	14	20	2	3
482	12	10	17	3	2
488	10	7	16	2	3
490	15	1	2	2	3
493	18	8	7	2	2
497	11	15	3	3	3
504	2	24	21	2	3
505	2	4	20	1	2
505	23	20	15	3	2
511	12	23	1	2	3
515	14	10	8	3	2
517	1	11	21	2	2
520	11	22	7	2	3
521	20	15	20	2	2
525	0	13	1	2	3
531	3	15	22	3	3
538	8	14	17	2	3
545	8	13	8	2	2
552	10	3	17	2	3
553	9	5	3	3	2
557	11	4	13	2	3
560	6	22	3	2	3
566	23	10	13	3	3
570	21	19	10	2	3
571	21	22	23	1	2
572	12	17	17	2	2
572	10	16	14	2	3
579	15	9	8	2	3
583	21	5	11	3	3
588	9	4	19	2	2
592	7	19	12	2	3
596	8	11	23	3	3
599	17	23	8	2	3
602	13	23	18	2	2
608	16	0	2	3	3
611	0	21	15	2	3
617	1	9	11	2	3
622	9	12	18	3	3
628	6	18	23	2	3
628	5	12	22	2	3
632	6	0	17	3	3
637	3	2	10	3	2
640	21	23	5	1	2
640	22	18	7	1	3
642	12	20	13	3	3
643	13	10	18	3	2
645	22	14	9	2	3
651	20	3	7	2	3
653	1	15	19	3	3
0	0	0	0	2	0
Total MRs turned On XY-Routing---- 
439
Total MRs Turned On West First---- 
500

ClKs: 994
