Trace File carries 
<t	 Src	 Dest	 PKTs>
 1	16	17	13
 7	0	19	3
 11	3	8	20
 13	14	5	19
 14	6	2	1
 15	16	20	4
 21	2	11	1
 28	4	2	9
 29	17	7	4
 34	16	18	14
 41	22	1	7
 44	13	19	8
 44	17	24	4
 47	19	3	9
 50	22	8	17
 51	14	16	22
 58	3	18	4
 61	19	12	4
 66	12	9	18
 69	16	4	2
 71	16	10	1
 77	6	15	18
 83	14	23	1
 89	5	15	22
 90	20	0	10
 96	1	18	3
 100	4	23	9
 104	4	6	11
 104	16	1	1
 107	8	19	8
 114	1	23	21
 115	13	18	1
 117	4	16	17
 118	15	14	10
 120	4	5	9
 121	6	23	19
 123	21	20	13
 127	22	20	19
 132	2	23	14
 133	12	11	5
 135	5	17	3
 142	24	6	8
 146	16	24	8
 152	5	7	15
 159	7	12	4
 160	12	3	10
 167	20	9	8
 168	8	21	12
 172	22	21	4
 174	5	13	21
 174	0	16	11
 176	5	10	4
 183	24	12	20
 187	8	20	16
 188	2	0	5
 191	11	24	1
 195	23	24	5
 199	9	6	10
 205	3	24	10
 207	13	0	22
 211	23	8	9
 218	21	10	20
 219	13	14	11
 224	1	0	4
 225	19	6	10
 231	9	14	20
 237	20	10	7
 242	18	23	2
 245	14	3	23
 245	0	8	6
 247	5	21	1
 253	6	14	23
 259	9	7	23
 259	22	13	12
 263	13	4	7
 269	7	8	21
 276	15	13	9
 280	11	2	2
 282	22	5	20
 282	21	12	20
 288	19	17	11
 292	16	6	6
 298	7	1	14
 302	14	0	20
 302	0	10	8
 305	19	11	15
 305	1	14	19
 312	23	2	12
 313	7	10	15
 313	1	17	23
 318	19	4	19
 319	14	1	7
 320	0	5	17
 322	24	16	23
 322	18	3	14
 325	23	4	18
 329	12	4	9
 334	12	16	12
 339	18	20	13
 340	16	11	14
 341	13	7	1
 348	1	16	6
 355	11	13	8
 356	3	12	10
 356	7	20	20
 357	6	21	20
 363	21	7	16
 364	19	21	19
 370	4	11	9
 377	0	23	14
 379	19	9	16
 383	24	4	5
 389	20	24	4
 391	13	24	13
 397	12	5	21
 403	16	2	5
 404	2	14	11
 406	24	9	4
 408	22	9	7
 409	20	12	14
 410	18	2	21
 415	20	13	10
 419	17	10	5
 425	0	18	14
 429	23	22	13
 434	6	3	14
 434	5	18	23
 439	6	17	10
 445	22	11	2
 445	0	12	17
 445	10	8	4
 452	10	21	13
 455	10	0	14
 459	19	20	11
 459	19	0	19
 459	19	8	23
 465	21	16	12
 471	18	1	8
 475	18	14	20
 482	12	10	17
 488	10	7	16
 490	15	1	2
 493	18	8	7
 497	11	15	3
 504	2	24	21
 505	2	4	20
 505	23	20	15
 511	12	23	1
 515	14	10	8
 517	1	11	21
 520	11	22	7
 521	20	15	20
 525	0	13	1
 531	3	15	22
 538	8	14	17
 545	8	13	8
 552	10	3	17
 553	9	5	3
 557	11	4	13
 560	6	22	3
 566	23	10	13
 570	21	19	10
 571	21	22	23
 572	12	17	17
 572	10	16	14
 579	15	9	8
 583	21	5	11
 588	9	4	19
 592	7	19	12
 596	8	11	23
 599	17	23	8
 602	13	23	18
 608	16	0	2
 611	0	21	15
 617	1	9	11
 622	9	12	18
 628	6	18	23
 628	5	12	22
 632	6	0	17
 637	3	2	10
 640	21	23	5
 640	22	18	7
 642	12	20	13
 643	13	10	18
 645	22	14	9
 651	20	3	7
 653	1	15	19
