Trace File carries 
<t	 Src	 Dest	 PKTs>
 1	9	3	7
 7	4	1	11
 11	6	14	18
 13	0	9	10
 14	1	11	22
 15	11	3	2
 21	11	12	12
 28	12	14	19
 29	4	14	9
 34	12	6	12
 41	7	14	9
 44	2	13	2
 44	3	11	19
 47	3	10	21
 52	9	8	15
 57	15	13	10
 61	6	5	10
 66	13	9	8
 68	12	11	13
 74	2	0	23
 76	0	14	3
 76	8	6	15
 81	2	9	19
 83	15	4	20
 85	4	0	4
 91	0	11	17
 95	0	7	6
 97	11	1	19
 99	6	2	2
 100	13	1	6
 103	15	10	13
 103	10	9	23
 105	9	2	23
 110	9	12	1
 110	14	5	14
 111	5	9	10
 111	2	10	6
 112	12	3	7
 119	7	6	17
 126	4	6	10
 132	13	12	20
 138	6	3	19
 145	7	9	16
 146	15	9	1
 153	1	13	20
 154	14	13	23
 158	2	6	16
 163	0	4	4
 170	10	7	23
 172	7	8	20
 173	11	9	12
 175	14	3	17
 179	14	12	10
 183	5	4	20
 190	9	14	5
 195	15	2	18
 197	4	12	21
 204	3	0	8
 209	8	3	12
 216	5	6	21
 217	13	10	17
 222	11	8	4
 223	7	4	18
 229	14	11	3
 234	5	7	23
 237	3	2	7
 244	8	0	10
 246	10	4	21
 250	14	1	16
 255	14	9	15
 260	4	7	16
 262	10	0	14
 269	10	6	12
 272	14	4	13
 272	2	11	23
 277	3	5	4
 281	3	8	22
 281	13	7	23
 288	6	13	7
 288	13	8	3
 292	9	10	17
 293	5	8	12
 294	10	5	8
 295	8	1	18
 299	6	9	9
 302	12	15	23
 303	5	13	8
 305	5	1	6
 308	1	0	11
 314	3	1	21
 319	0	8	6
 319	1	9	9
 323	1	6	15
 329	0	12	17
 335	9	1	3
 342	2	5	21
 344	8	2	17
 347	9	13	14
 353	4	15	10
 354	12	8	7
 355	14	0	8
 360	11	2	9
 363	15	1	18
 370	5	11	8
 370	8	12	22
 373	8	13	21
 379	14	2	12
 382	1	15	23
 382	3	13	21
 382	12	10	8
 382	10	11	10
 382	6	12	11
 387	10	14	17
 392	10	1	10
 395	15	8	14
 401	4	9	16
